Price,Adj Close,Close,High,Low,Open,Volume,Daily Return,Cumulative Return
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,
Date,,,,,,,,
2020-07-17,9151.392578125,9151.392578125,9182.25390625,9089.2021484375,9131.8125,13944570749,,
2020-07-18,9159.0400390625,9159.0400390625,9230.9833984375,9100.82421875,9151.18359375,12252601475,0.0008356608977502233,1.0008356608977502
2020-07-19,9185.8173828125,9185.8173828125,9201.3984375,9097.6328125,9158.005859375,12939002784,0.002923597193133398,1.0037617012267388
2020-07-20,9164.2314453125,9164.2314453125,9214.2705078125,9137.509765625,9187.220703125,13755604146,-0.0023499201650132306,1.001402941364158
2020-07-21,9374.8876953125,9374.8876953125,9407.2626953125,9149.3896484375,9162.5146484375,18069581956,0.02298678850016933,1.0244219789807434
2020-07-22,9525.36328125,9525.36328125,9530.5185546875,9319.6533203125,9375.080078125,16532254884,0.016050921443329758,1.0408648956901838
2020-07-23,9581.072265625,9581.072265625,9610.2470703125,9483.00390625,9527.1416015625,18146399002,0.00584848921034431,1.046952382802054
2020-07-24,9536.892578125,9536.892578125,9623.3369140625,9481.4541015625,9585.5146484375,16552768325,-0.004611142289210002,1.0421247363949262
2020-07-25,9677.11328125,9677.11328125,9704.556640625,9530.2119140625,9539.4853515625,16610070933,0.014702976045533722,1.057447071430599
2020-07-26,9905.1669921875,9905.1669921875,10023.8076171875,9652.84765625,9680.234375,20507998997,0.023566295475673238,1.0823671815658178
2020-07-27,10990.873046875,10990.873046875,11298.2216796875,9903.9697265625,9905.2177734375,35359749590,0.1096100707382146,1.201005524901969
2020-07-28,10912.8232421875,10912.8232421875,11204.3271484375,10632.6318359375,11017.4638671875,28766551142,-0.007101328925793737,1.1924767896279447
2020-07-29,11100.4677734375,11100.4677734375,11304.3974609375,10856.1416015625,10912.953125,24617249715,0.017194865809297744,1.2129812680062995
2020-07-30,11111.2138671875,11111.2138671875,11169.3564453125,10895.455078125,11099.8330078125,22857247901,0.0009680757576464583,1.2141555257663357
2020-07-31,11323.466796875,11323.466796875,11415.8642578125,10987.0537109375,11110.2109375,23160469766,0.0191025870102548,1.2373490373412688
2020-08-01,11759.5927734375,11759.5927734375,11794.775390625,11239.6826171875,11322.5703125,26075670303,0.03851523428168302,1.2850058254026826
2020-08-02,11053.6142578125,11053.6142578125,12034.14453125,11018.1298828125,11758.7646484375,27410067336,-0.060034265575901635,1.2078614444138773
